## Name:ideal3_shmip
## Icon:0
# Points Count Value
5706 1.000000
# X pos Y pos
0.000000 -73.679340
0.000000 73.679340
1.000167 -83.126001
1.000167 83.126001
2.000333 -90.783989
2.000333 90.783989
3.000500 -97.306590
3.000500 97.306590
4.000667 -103.035298
4.000667 103.035298
5.000833 -108.171483
5.000833 108.171483
6.001000 -112.845459
6.001000 112.845459
7.001167 -117.145014
7.001167 117.145014
8.001334 -121.136643
8.001334 121.136643
9.001500 -124.868618
9.001500 124.868618
10.001667 -128.377089
10.001667 128.377089
11.001834 -131.692999
11.001834 131.692999
12.002000 -134.837151
12.002000 134.837151
13.002167 -137.831462
13.002167 137.831462
14.002334 -140.691837
14.002334 140.691837
15.002500 -143.429372
15.002500 143.429372
16.002667 -146.057434
16.002667 146.057434
17.002834 -148.587224
17.002834 148.587224
18.003001 -151.022992
18.003001 151.022992
19.003167 -153.375942
19.003167 153.375942
20.003334 -155.652169
20.003334 155.652169
21.003501 -157.854058
21.003501 157.854058
22.003667 -159.989529
22.003667 159.989529
23.003834 -162.062776
23.003834 162.062776
24.004001 -164.077664
24.004001 164.077664
25.004167 -166.037795
25.004167 166.037795
26.004334 -167.946528
26.004334 167.946528
27.004501 -169.806999
27.004501 169.806999
28.004667 -171.621557
28.004667 171.621557
29.004834 -173.391445
29.004834 173.391445
30.005001 -175.120899
30.005001 175.120899
31.005168 -176.812352
31.005168 176.812352
32.005334 -178.465712
32.005334 178.465712
33.005501 -180.083650
33.005501 180.083650
34.005668 -181.669612
34.005668 181.669612
35.005834 -183.220880
35.005834 183.220880
36.006001 -184.743790
36.006001 184.743790
37.006168 -186.235223
37.006168 186.235223
38.006334 -187.700791
38.006334 187.700791
39.006501 -189.136849
39.006501 189.136849
40.006668 -190.548892
40.006668 190.548892
41.006834 -191.935024
41.006834 191.935024
42.007001 -193.297233
42.007001 193.297233
43.007168 -194.637608
43.007168 194.637608
44.007335 -195.954085
44.007335 195.954085
45.007501 -197.249550
45.007501 197.249550
46.007668 -198.525135
46.007668 198.525135
47.007835 -199.780555
47.007835 199.780555
48.008001 -201.015612
48.008001 201.015612
49.008168 -202.232540
49.008168 202.232540
50.008335 -203.431815
50.008335 203.431815
51.008501 -204.613901
51.008501 204.613901
52.008668 -205.778538
52.008668 205.778538
53.008835 -206.926165
53.008835 206.926165
54.009002 -208.058083
54.009002 208.058083
55.009168 -209.174700
55.009168 209.174700
56.009335 -210.276411
56.009335 210.276411
57.009502 -211.363602
57.009502 211.363602
58.009668 -212.436646
58.009668 212.436646
59.009835 -213.495907
59.009835 213.495907
60.010002 -214.541737
60.010002 214.541737
61.010168 -215.574480
61.010168 215.574480
62.010335 -216.594472
62.010335 216.594472
63.010502 -217.602035
63.010502 217.602035
64.010668 -218.597488
64.010668 218.597488
65.010835 -219.581136
65.010835 219.581136
66.011002 -220.553279
66.011002 220.553279
67.011169 -221.514209
67.011169 221.514209
68.011335 -222.464208
68.011335 222.464208
69.011502 -223.403553
69.011502 223.403553
70.011669 -224.332510
70.011669 224.332510
71.011835 -225.251342
71.011835 225.251342
72.012002 -226.160301
72.012002 226.160301
73.012169 -227.059637
73.012169 227.059637
74.012335 -227.949588
74.012335 227.949588
75.012502 -228.830391
75.012502 228.830391
76.012669 -229.702032
76.012669 229.702032
77.012835 -230.564015
77.012835 230.564015
78.013002 -231.417453
78.013002 231.417453
79.013169 -232.262558
79.013169 232.262558
80.013336 -233.099540
80.013336 233.099540
81.013502 -233.928600
81.013502 233.928600
82.013669 -234.749936
82.013669 234.749936
83.013836 -235.562273
83.013836 235.562273
84.014002 -236.367086
84.014002 236.367086
85.014169 -237.164689
85.014169 237.164689
86.014336 -237.955264
86.014336 237.955264
87.014502 -238.738984
87.014502 238.738984
88.014669 -239.514144
88.014669 239.514144
89.014836 -240.282746
89.014836 240.282746
90.015003 -241.044957
90.015003 241.044957
91.015169 -241.800935
91.015169 241.800935
92.015336 -242.549247
92.015336 242.549247
93.015503 -243.291110
93.015503 243.291110
94.015669 -244.027167
94.015669 244.027167
95.015836 -244.757562
95.015836 244.757562
96.016003 -245.480283
96.016003 245.480283
97.016169 -246.197494
97.016169 246.197494
98.016336 -246.909434
98.016336 246.909434
99.016503 -247.615170
99.016503 247.615170
100.016669 -248.314552
100.016669 248.314552
101.016836 -249.009034
101.016836 249.009034
102.017003 -249.698328
102.017003 249.698328
103.017170 -250.380847
103.017170 250.380847
104.017336 -251.058813
104.017336 251.058813
105.017503 -251.732188
105.017503 251.732188
106.017670 -252.398756
106.017670 252.398756
107.017836 -253.061100
107.017836 253.061100
108.018003 -253.719055
108.018003 253.719055
109.018170 -254.370539
109.018170 254.370539
110.018336 -255.018108
110.018336 255.018108
111.018503 -255.661125
111.018503 255.661125
112.018670 -256.298344
112.018670 256.298344
113.018836 -256.931939
113.018836 256.931939
114.019003 -257.560481
114.019003 257.560481
115.019170 -258.184212
115.019170 258.184212
116.019337 -258.804596
116.019337 258.804596
117.019503 -259.419105
117.019503 259.419105
118.019670 -260.030086
118.019670 260.030086
119.019837 -260.637032
119.019837 260.637032
120.020003 -261.238883
120.020003 261.238883
121.020170 -261.837812
121.020170 261.837812
122.020337 -262.431384
122.020337 262.431384
123.020503 -263.021609
123.020503 263.021609
124.020670 -263.607972
124.020670 263.607972
125.020837 -264.189747
125.020837 264.189747
126.021004 -264.768990
126.021004 264.768990
127.021170 -265.342595
127.021170 265.342595
128.021337 -265.913782
128.021337 265.913782
129.021504 -266.480510
129.021504 266.480510
130.021670 -267.043876
130.021670 267.043876
131.021837 -267.603844
131.021837 267.603844
132.022004 -268.159618
132.022004 268.159618
133.022170 -268.712935
133.022170 268.712935
134.022337 -269.261340
134.022337 269.261340
135.022504 -269.807834
135.022504 269.807834
136.022670 -270.349370
136.022670 270.349370
137.022837 -270.888839
137.022837 270.888839
138.023004 -271.424026
138.023004 271.424026
139.023171 -271.956675
139.023171 271.956675
140.023337 -272.485616
140.023337 272.485616
141.023504 -273.011648
141.023504 273.011648
142.023671 -273.534444
142.023671 273.534444
143.023837 -274.054054
143.023837 274.054054
144.024004 -274.570805
144.024004 274.570805
145.024171 -275.084184
145.024171 275.084184
146.024337 -275.594986
146.024337 275.594986
147.024504 -276.102319
147.024504 276.102319
148.024671 -276.607268
148.024671 276.607268
149.024837 -277.108735
149.024837 277.108735
150.025004 -277.607923
150.025004 277.607923
151.025171 -278.103701
151.025171 278.103701
152.025338 -278.597219
152.025338 278.597219
153.025504 -279.087479
153.025504 279.087479
154.025671 -279.575417
154.025671 279.575417
155.025838 -280.060324
155.025838 280.060324
156.026004 -280.542770
156.026004 280.542770
157.026171 -281.022487
157.026171 281.022487
158.026338 -281.499526
158.026338 281.499526
159.026504 -281.974210
159.026504 281.974210
160.026671 -282.445926
160.026671 282.445926
161.026838 -282.915732
161.026838 282.915732
162.027005 -283.382208
162.027005 283.382208
163.027171 -283.847285
163.027171 283.847285
164.027338 -284.308600
164.027338 284.308600
165.027505 -284.768983
165.027505 284.768983
166.027671 -285.225329
166.027671 285.225329
167.027838 -285.680646
167.027838 285.680646
168.028005 -286.132612
168.028005 286.132612
169.028171 -286.582942
169.028171 286.582942
170.028338 -287.030665
170.028338 287.030665
171.028505 -287.476083
171.028505 287.476083
172.028671 -287.919697
172.028671 287.919697
173.028838 -288.360276
