Xpos Ypos
1.000167 -500.000000
51.008501 -500.000000
101.016836 -500.000000
151.025171 -500.000000
201.033506 -500.000000
251.041840 -500.000000
301.050175 -500.000000
351.058510 -500.000000
401.066844 -500.000000
451.075179 -500.000000
501.083514 -500.000000
551.091849 -500.000000
601.100183 -500.000000
651.108518 -500.000000
701.116853 -500.000000
751.125188 -500.000000
801.133522 -500.000000
851.141857 -500.000000
901.150192 -500.000000
951.158526 -500.000000
1001.166861 -500.000000
1051.175196 -500.000000
1101.183531 -500.000000
1151.191865 -500.000000
1201.200200 -500.000000
1251.208535 -500.000000
1301.216869 -500.000000
1351.225204 -500.000000
1401.233539 -500.000000
1451.241874 -500.000000
1501.250208 -500.000000
1551.258543 -500.000000
1601.266878 -500.000000
1651.275213 -500.000000
1701.283547 -500.000000
1751.291882 -500.000000
1801.300217 -500.000000
1851.308551 -500.000000
1901.316886 -500.000000
1951.325221 -500.000000
2001.333556 -500.000000
2051.341890 -500.000000
2101.350225 -500.000000
2151.358560 -500.000000
2193.365561 -499.881194
2145.176362 -497.997998
2096.349392 -496.039020
2048.341390 -494.061693
2000.333389 -492.031904
1953.287095 -489.989990
1905.317553 -487.851823
1857.309552 -485.653253
1809.301550 -483.393658
1761.293549 -481.070548
1714.285714 -478.730554
1666.277713 -476.271674
1619.269878 -473.792995
1571.261877 -471.184894
1524.254042 -468.552036
1477.246208 -465.837061
1429.238206 -462.974013
1382.230372 -460.076396
1335.222537 -457.080183
1288.214702 -453.978797
1242.207035 -450.833959
1195.199200 -447.501104
1148.191365 -444.039014
1102.183697 -440.514125
1056.176029 -436.844634
1009.177469 -432.932933
963.163339 -428.928929
918.153026 -424.829716
872.145358 -420.434686
827.137856 -415.915114
781.130188 -411.043343
736.122687 -406.003936
692.115353 -400.782514
647.107851 -395.102882
603.100517 -389.172132
559.553346 -382.882883
516.086014 -376.121253
473.078846 -368.877688
431.071845 -361.173201
389.658366 -352.852853
349.036395 -343.843844
308.536993 -333.833834
269.044841 -322.831271
231.203064 -310.810811
195.032505 -297.540451
160.026671 -282.445926
127.021170 -265.342595
96.384292 -245.745746
69.011502 -223.403553
45.007501 -197.249550
25.330396 -166.666667
10.982689 -131.631632
1.972148 -90.590591
0.000000 -105.605606
0.000000 -155.655656
0.000000 -205.705706
0.000000 -255.755756
0.000000 -305.805806
0.000000 -355.855856
0.000000 -405.905906
0.000000 -455.955956
5347.891315 -500.000000
5397.899650 -500.000000
5447.907985 -500.000000
